Name,姓名,Index year,Sex,Associate,社会关系人姓名,Assoc. Index Year,Assoc. Sex,Association,联系,Address,籍贯,X,Y,Assoc. Address,联系人籍贯,Assoc. X,Assoc. Y,Kinship Relation,亲属关系,Kin Name,亲戚姓名,Assoc. Kinship Rel.,关系人的亲属关系,Assoc. Kin Name,关系人的亲戚姓名,Distance 距离,Person ID,Assoc ID
An Dun,安惇,1042,M,Zou Hao,邹浩,1060,M,Opposed or attacked,反对/攻讦,Qujiang,渠江,106.631752,30.47769,Wujin,武进,119.952301,31.782784,U,未详,Wei Xiang,未详,U,未详,Wei Xiang,未详,1275.341259,1,3888
An Dun,安惇,1042,M,Zhang Shiliang,张士良,,M,Opposed or attacked,反对/攻讦,Qujiang,渠江,106.631752,30.47769,[Unknown],[未详],,,U,未详,Wei Xiang,未详,U,未详,Wei Xiang,未详,,1,25065
Chen Jian(2),陈戬,1081,M,Tong Guan,童贯,1054,M,Opposed or attacked,反对/攻讦,Songxi,松溪,118.774612,27.528404,Kaifeng,开封,114.34333,34.785477,U,未详,Wei Xiang,未详,U,未详,Wei Xiang,未详,910.189663,31,8124
Cheng Yu,程瑀,1087,M,Wu Min,吴敏,1087,M,Opposed or attacked,反对/攻讦,Fuliang,浮梁,117.236359,29.382742,Yangzi,扬子,119.177627,32.267544,U,未详,Wei Xiang,未详,U,未详,Wei Xiang,未详,370.4616382,128,8163
Zhang Shangying,张商英,1043,M,Sima Guang,司马光,1019,M,Opposed or attacked,反对/攻讦,Xinjin,新津,103.810936,30.423536,Xia Xian,夏县,111.220055,35.137451,U,未详,Wei Xiang,未详,U,未详,Wei Xiang,未详,868.1709709,272,1488
Zhang Dun,章惇,1035,M,Zheng Yong,郑雍,1031,M,Opposed or attacked,反对/攻讦,Pucheng,浦城,118.536255,27.924686,Xiangyi,襄邑,115.065971,34.430504,U,未详,Wei Xiang,未详,U,未详,Wei Xiang,未详,795.028298,333,8030
Zhou Jiazheng,周嘉正,970,M,Ding Wei,丁谓,966,M,Opposed or attacked,反对/攻讦,Hailing,海陵,119.91124,32.495872,Changzhou,长洲,120.618622,31.31271,U,未详,Wei Xiang,未详,U,未详,Wei Xiang,未详,147.5365077,480,1641
Fan Rugui,范如圭,1102,M,Qin Gui,秦桧,1090,M,Opposed or attacked,反对/攻讦,Jianyang,建阳,118.10537,27.33988,Jiangning,江宁,118.76899,32.052563,U,未详,Wei Xiang,未详,U,未详,Wei Xiang,未详,527.9286757,575,8008
Han Zhen,韩缜,1019,M,Zhang Dun,章惇,1035,M,Opposed or attacked,反对/攻讦,Yongqiu,雍邱,114.76066,34.49547,Pucheng,浦城,118.536255,27.924686,U,未详,Wei Xiang,未详,U,未详,Wei Xiang,未详,813.9120384,634,333
Xu Jiang,许将,1037,M,Sima Guang,司马光,1019,M,Opposed or attacked,反对/攻讦,Min Xian,闽县,119.321577,26.073954,Xia Xian,夏县,111.220055,35.137451,U,未详,Wei Xiang,未详,U,未详,Wei Xiang,未详,1270.445914,781,1488
Kou Zhun,寇准,961,M,Lin Te,林特,1187,M,Opposed or attacked,反对/攻讦,Xiagui,下邽,109.50959,34.729103,Shunchang,顺昌,117.806282,26.797091,U,未详,Wei Xiang,未详,U,未详,Wei Xiang,未详,1184.904638,898,1169
Gao Ruona,高若讷,997,M,Yu Jing,余靖,1000,M,Opposed or attacked,反对/攻讦,Yuci,榆次,112.744682,37.678467,Qujiang,曲江,113.603417,24.810209,U,未详,Wei Xiang,未详,U,未详,Wei Xiang,未详,1433.193392,911,12319
