姓名,不合,反对/攻讦,得到Y的支持,支持,政见趋同,遭到Y的反对/攻讦,亲戚为官数
丁谓,0.0,0.0,1.0,1.0,0.0,4.0,0.0
万俟卨,0.0,0.0,0.0,1.0,0.0,0.0,0.0
令狐挻,0.0,0.0,0.0,1.0,0.0,0.0,0.0
何执中,0.0,0.0,0.0,0.0,0.0,2.0,0.0
余靖,0.0,0.0,2.0,1.0,2.0,1.0,0.0
侯蒙,1.0,0.0,0.0,0.0,0.0,0.0,0.0
冯京,0.0,0.0,0.0,1.0,0.0,0.0,0.0
刘安上,0.0,0.0,0.0,0.0,1.0,0.0,0.0
刘安世,0.0,2.0,0.0,0.0,0.0,1.0,0.0
刘氏(赵恒皇后),0.0,1.0,0.0,0.0,0.0,0.0,0.0
刘筠,0.0,1.0,0.0,0.0,0.0,0.0,0.0
刘錡,0.0,0.0,1.0,0.0,0.0,0.0,0.0
卢多逊,0.0,0.0,0.0,0.0,0.0,1.0,0.0
句龙如渊,0.0,0.0,0.0,1.0,0.0,0.0,0.0
叶祖洽,0.0,2.0,0.0,0.0,0.0,0.0,0.0
司马光,2.0,2.0,11.0,0.0,0.0,7.0,0.0
向子諲,0.0,0.0,0.0,0.0,0.0,1.0,0.0
向宗良,0.0,0.0,0.0,0.0,0.0,1.0,0.0
吕大防,0.0,0.0,3.0,0.0,0.0,3.0,0.0
吕夷简,0.0,2.0,2.0,1.0,0.0,1.0,0.0
吕惠卿,1.0,0.0,3.0,0.0,1.0,5.0,0.0
吕诲,0.0,1.0,0.0,0.0,0.0,0.0,0.0
吕颐浩,1.0,1.0,1.0,0.0,0.0,0.0,0.0
吴充,0.0,0.0,0.0,1.0,0.0,0.0,0.0
吴懋,0.0,2.0,0.0,0.0,0.0,0.0,0.0
吴玠,1.0,0.0,0.0,0.0,0.0,0.0,0.0
周嘉正,0.0,1.0,0.0,0.0,0.0,0.0,0.0
周敦颐,0.0,0.0,1.0,0.0,0.0,0.0,0.0
唐介,0.0,0.0,0.0,0.0,1.0,0.0,0.0
唐重,0.0,1.0,0.0,0.0,0.0,0.0,0.0
夏竦,0.0,0.0,0.0,0.0,0.0,1.0,0.0
孔道辅,0.0,0.0,0.0,0.0,1.0,0.0,0.0
孙固,0.0,1.0,0.0,0.0,0.0,0.0,0.0
孙览,1.0,0.0,0.0,0.0,0.0,0.0,0.0
孟彦卿,0.0,0.0,1.0,0.0,0.0,0.0,0.0
孟氏(赵煦妻),0.0,0.0,1.0,0.0,0.0,0.0,0.0
安惇,2.0,2.0,0.0,2.0,0.0,1.0,0.0
安扶,0.0,0.0,0.0,0.0,1.0,0.0,0.0
宋乔年,0.0,0.0,1.0,0.0,0.0,0.0,0.0
宗泽,0.0,0.0,2.0,0.0,0.0,0.0,0.0
寇准,1.0,1.0,2.0,0.0,0.0,1.0,0.0
富弼,0.0,0.0,4.0,0.0,1.0,0.0,0.0
尹洙,0.0,0.0,2.0,0.0,1.0,0.0,0.0
岳飞,0.0,2.0,7.0,0.0,0.0,0.0,0.0
师骥,0.0,1.0,0.0,0.0,0.0,0.0,0.0
常安民,0.0,0.0,1.0,0.0,0.0,0.0,0.0
常秩,0.0,0.0,0.0,1.0,0.0,0.0,0.0
张九成,2.0,0.0,0.0,0.0,0.0,0.0,0.0
张商英,0.0,1.0,0.0,3.0,1.0,1.0,0.0
张士逊,0.0,0.0,0.0,1.0,0.0,0.0,0.0
张康国,0.0,0.0,1.0,0.0,0.0,0.0,0.0
张扩,0.0,0.0,1.0,0.0,0.0,0.0,0.0
张知白,1.0,0.0,0.0,0.0,0.0,0.0,0.0
张载,0.0,0.0,1.0,0.0,0.0,0.0,0.0
张逊,1.0,0.0,0.0,0.0,0.0,0.0,0.0
张邵,0.0,0.0,0.0,2.0,0.0,0.0,0.0
彭思永,0.0,1.0,0.0,0.0,0.0,0.0,0.0
彭汝砺,0.0,1.0,0.0,0.0,0.0,0.0,0.0
施庭臣,0.0,0.0,1.0,0.0,0.0,0.0,0.0
施昌言,1.0,1.0,0.0,0.0,0.0,0.0,0.0
晏殊,0.0,0.0,0.0,1.0,0.0,1.0,0.0
曹修古,0.0,0.0,0.0,1.0,0.0,0.0,0.0
曹利用,0.0,0.0,1.0,0.0,0.0,0.0,0.0
曾布,2.0,1.0,1.0,1.0,0.0,1.0,1.0
曾肇,0.0,0.0,0.0,0.0,0.0,1.0,6.0
朱胜非,0.0,1.0,0.0,0.0,0.0,1.0,0.0
李光,0.0,1.0,0.0,0.0,0.0,0.0,0.0
李处耘,0.0,1.0,0.0,0.0,0.0,0.0,0.0
李宾王,0.0,1.0,0.0,0.0,0.0,0.0,0.0
李师中,0.0,1.0,0.0,2.0,0.0,0.0,0.0
李弥大,1.0,0.0,0.0,0.0,0.0,0.0,0.0
李氏(赵祯母),0.0,0.0,1.0,0.0,0.0,0.0,0.0
李渭,0.0,0.0,0.0,1.0,0.0,0.0,0.0
李纲,2.0,0.0,10.0,0.0,2.0,3.0,0.0
李迪,0.0,1.0,0.0,0.0,0.0,0.0,0.0
李邦彦,0.0,0.0,0.0,0.0,0.0,2.0,0.0
李邴,0.0,1.0,0.0,0.0,0.0,0.0,0.0
杜衍,0.0,0.0,1.0,0.0,3.0,0.0,0.0
杨偕,0.0,0.0,0.0,0.0,1.0,0.0,0.0
杨徽之,0.0,2.0,0.0,0.0,0.0,0.0,0.0
杨愿,0.0,0.0,0.0,1.0,0.0,1.0,0.0
杨畏,0.0,0.0,0.0,5.0,0.0,0.0,0.0
杨覃,2.0,0.0,0.0,0.0,0.0,0.0,0.0
柳瑊,0.0,0.0,0.0,0.0,0.0,1.0,0.0
柴禹锡,0.0,0.0,0.0,0.0,0.0,1.0,0.0
江褒,0.0,0.0,1.0,0.0,0.0,0.0,0.0
汪伯彦,0.0,0.0,0.0,0.0,0.0,3.0,0.0
汪藻,1.0,0.0,0.0,0.0,0.0,0.0,0.0
沈季长,0.0,0.0,0.0,1.0,0.0,0.0,0.0
沈辽,1.0,0.0,0.0,0.0,0.0,0.0,0.0
洪皓,0.0,1.0,0.0,0.0,0.0,0.0,0.0
温益,0.0,0.0,1.0,0.0,0.0,0.0,0.0
潘美,0.0,0.0,1.0,0.0,0.0,0.0,0.0
潘良贵,0.0,1.0,0.0,0.0,0.0,0.0,0.0
狄青,0.0,0.0,1.0,0.0,0.0,0.0,0.0
王公彦,0.0,1.0,0.0,1.0,0.0,0.0,0.0
王安石,5.0,0.0,5.0,1.0,1.0,9.0,1.0
王安礼,0.0,0.0,0.0,1.0,0.0,0.0,21.0
王尧臣,0.0,0.0,0.0,0.0,0.0,2.0,0.0
王旦,0.0,1.0,0.0,0.0,0.0,0.0,0.0
王显,0.0,0.0,0.0,0.0,0.0,1.0,0.0
王珪,0.0,0.0,0.0,0.0,0.0,1.0,0.0
王畴,0.0,0.0,0.0,0.0,0.0,1.0,0.0
王祖道,0.0,0.0,0.0,1.0,0.0,0.0,0.0
王纶,0.0,1.0,0.0,0.0,0.0,0.0,0.0
王钦若,1.0,0.0,0.0,0.0,0.0,1.0,0.0
王震,2.0,0.0,0.0,0.0,0.0,0.0,0.0
王黼,1.0,0.0,0.0,1.0,0.0,2.0,0.0
皮公弼,0.0,0.0,0.0,0.0,0.0,1.0,0.0
石介,0.0,0.0,0.0,3.0,0.0,0.0,0.0
祖无择,0.0,0.0,1.0,0.0,0.0,0.0,0.0
种师道,0.0,0.0,0.0,0.0,0.0,1.0,0.0
秦桧,15.0,6.0,10.0,5.0,1.0,26.0,0.0
秦熺,0.0,0.0,0.0,0.0,0.0,2.0,0.0
程琳,0.0,0.0,0.0,0.0,0.0,1.0,0.0
程瑀,0.0,1.0,0.0,0.0,0.0,0.0,0.0
程颐,0.0,0.0,1.0,0.0,0.0,0.0,0.0
章惇,1.0,1.0,11.0,2.0,0.0,15.0,0.0
章綡,0.0,0.0,2.0,0.0,0.0,0.0,2.0
章縡,0.0,0.0,2.0,0.0,0.0,0.0,2.0
胡则,0.0,0.0,1.0,0.0,0.0,0.0,0.0
胡宗愈,0.0,0.0,0.0,0.0,0.0,1.0,0.0
胡宪,0.0,0.0,0.0,2.0,0.0,0.0,0.0
胡宿,0.0,2.0,0.0,0.0,0.0,0.0,0.0
胡瑗,0.0,0.0,0.0,0.0,0.0,1.0,0.0
胥偃,1.0,0.0,0.0,0.0,0.0,0.0,0.0
苏安世,0.0,0.0,0.0,1.0,0.0,0.0,0.0
苏舜钦,0.0,0.0,1.0,0.0,0.0,0.0,0.0
苏轼,0.0,0.0,5.0,0.0,0.0,3.0,7.0
苏辙,0.0,3.0,5.0,0.0,0.0,0.0,7.0
苗傅,0.0,0.0,1.0,4.0,0.0,2.0,0.0
范仲淹,2.0,0.0,4.0,0.0,1.0,0.0,10.0
范同,0.0,0.0,0.0,2.0,1.0,0.0,0.0
范如圭,0.0,1.0,0.0,0.0,0.0,0.0,0.0
范宗尹,0.0,0.0,0.0,1.0,0.0,0.0,0.0
范濬,1.0,0.0,0.0,0.0,0.0,0.0,0.0
范琼,0.0,0.0,1.0,1.0,0.0,0.0,0.0
范祖禹,0.0,1.0,0.0,0.0,0.0,0.0,0.0
范纯仁,0.0,0.0,5.0,0.0,0.0,4.0,8.0
范纯礼,0.0,0.0,0.0,0.0,0.0,1.0,16.0
范镇,1.0,0.0,0.0,0.0,1.0,0.0,0.0
萧服,0.0,0.0,0.0,3.0,0.0,0.0,0.0
蔡承禧,0.0,1.0,0.0,0.0,0.0,0.0,0.0
薛奎,0.0,0.0,0.0,1.0,0.0,0.0,0.0
薛弼,0.0,0.0,0.0,0.0,1.0,0.0,0.0
许将,0.0,1.0,0.0,0.0,0.0,0.0,0.0
贾昌朝,0.0,0.0,0.0,0.0,0.0,1.0,0.0
贾蕃,0.0,0.0,1.0,0.0,0.0,0.0,0.0
赵匡胤,0.0,0.0,1.0,0.0,0.0,0.0,0.0
赵抃,1.0,0.0,0.0,0.0,0.0,0.0,0.0
赵普,1.0,1.0,0.0,0.0,0.0,2.0,0.0
赵槩,0.0,0.0,0.0,1.0,0.0,0.0,0.0
赵玭,1.0,0.0,0.0,0.0,0.0,0.0,0.0
赵祯,0.0,0.0,1.0,1.0,0.0,0.0,1.0
赵顼,0.0,0.0,0.0,1.0,0.0,0.0,2.0
赵鼎,0.0,1.0,0.0,0.0,0.0,0.0,0.0
邓洵武,0.0,0.0,0.0,2.0,0.0,0.0,0.0
邓肃,0.0,0.0,0.0,2.0,0.0,0.0,0.0
邢焕,0.0,2.0,0.0,2.0,0.0,0.0,0.0
邵伯温,1.0,0.0,0.0,0.0,0.0,0.0,0.0
邹浩,0.0,1.0,0.0,0.0,0.0,1.0,0.0
郑侠,0.0,0.0,1.0,0.0,0.0,0.0,0.0
郑刚中,0.0,0.0,0.0,1.0,0.0,0.0,0.0
郑居中,0.0,0.0,1.0,1.0,0.0,0.0,0.0
郑獬,0.0,0.0,0.0,1.0,0.0,0.0,0.0
郑雍,0.0,0.0,0.0,0.0,0.0,1.0,0.0
郭知章,0.0,1.0,0.0,0.0,0.0,0.0,0.0
郭贽,0.0,1.0,0.0,0.0,0.0,0.0,0.0
陈尧佐,1.0,0.0,0.0,0.0,0.0,0.0,0.0
陈戬,0.0,1.0,0.0,0.0,0.0,0.0,0.0
陈执中,0.0,0.0,0.0,0.0,0.0,1.0,0.0
陈次升,0.0,1.0,0.0,0.0,0.0,0.0,0.0
陈瓘,0.0,4.0,0.0,0.0,1.0,0.0,0.0
陈若拙,1.0,0.0,0.0,0.0,0.0,0.0,0.0
韩世忠,0.0,0.0,0.0,1.0,0.0,0.0,0.0
韩忠彦,1.0,0.0,1.0,0.0,0.0,1.0,5.0
韩熙载,0.0,0.0,0.0,0.0,1.0,0.0,0.0
韩琦,0.0,0.0,1.0,3.0,1.0,0.0,3.0
韩缜,0.0,1.0,0.0,0.0,0.0,0.0,0.0
马伸,0.0,0.0,1.0,0.0,0.0,0.0,0.0
马知节,0.0,1.0,0.0,0.0,0.0,0.0,0.0
高氏(赵曙妻),0.0,1.0,0.0,1.0,0.0,0.0,0.0
高琼,0.0,0.0,0.0,1.0,0.0,0.0,0.0
高登,0.0,1.0,0.0,2.0,0.0,0.0,0.0
高若讷,0.0,1.0,0.0,0.0,0.0,1.0,0.0
鲁宗道,0.0,0.0,1.0,0.0,0.0,0.0,0.0
黄庭坚,0.0,0.0,0.0,0.0,0.0,1.0,0.0
黄策,0.0,1.0,0.0,0.0,0.0,0.0,0.0
